CODIGO;TITULO
01;MEMBROS DAS FORÇAS ARMADAS                                                                                                        
02;POLICIAIS MILITARES                                                                                                               
03;BOMBEIROS MILITARES                                                                                                               
11;MEMBROS SUPERIORES E DIRIGENTES DO PODER PÚBLICO                                                                                  
12;DIRIGENTES DE EMPRESAS E ORGANIZAÇÕES (EXCETO DE INTERESSE PÚBLICO)                                                               
13;DIRETORES E GERENTES EM EMPRESA DE SERVIÇOS DE SAÚDE, DA EDUCAÇÃO, OU DE SERVIÇOS CULTURAIS, SOCIAIS OU PESSOAIS                  
14;GERENTES                                                                                                                          
20;PESQUISADORES E PROFISSIONAIS POLICIENTÍFICOS                                                                                     
21;PROFISSIONAIS DAS CIÊNCIAS EXATAS, FÍSICAS E DA ENGENHARIA                                                                        
22;PROFISSIONAIS DAS CIÊNCIAS BIOLÓGICAS, DA SAÚDE E AFINS                                                                           
23;PROFISSIONAIS DO ENSINO                                                                                                           
24;PROFISSIONAIS DAS CIÊNCIAS JURÍDICAS                                                                                              
25;PROFISSIONAIS DAS CIÊNCIAS SOCIAIS E HUMANAS                                                                                      
26;COMUNICADORES, ARTISTAS E RELIGIOSOS                                                                                              
27;PROFISSIONAIS EM GASTRONOMIA
30;TÉCNICOS POLIVALENTES                                                                                                             
31;TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS                                                        
32;TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS                                                    
33;PROFESSORES LEIGOS E DE NÍVEL MÉDIO                                                                                               
34;TÉCNICOS DE NÍVEL MÉDIO EM SERVIÇOS DE TRANSPORTES                                                                                
35;TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS                                                                              
37;TÉCNICOS EM NIVEL MÉDIO DOS SERVIÇOS CULTURAIS, DAS COMUNICAÇÕES E DOS DESPORTOS                                                  
39;OUTROS TÉCNICOS DE NÍVEL MÉDIO                                                                                                    
41;ESCRITURÁRIOS                                                                                                                     
42;TRABALHADORES DE ATENDIMENTO AO PÚBLICO                                                                                           
51;TRABALHADORES DOS SERVIÇOS                                                                                                        
52;VENDEDORES E PRESTADORES DE SERVIÇOS DO COMÉRCIO                                                                                  
61;PRODUTORES NA EXPLORAÇÃO AGROPECUÁRIA                                                                                             
62;TRABALHADORES NA EXPLORAÇÃO AGROPECUÁRIA                                                                                          
63;PESCADORES E EXTRATIVISTAS FLORESTAIS                                                                                             
64;TRABALHADORES DA MECANIZAÇÃO AGROPECUÁRIA E FLORESTAL                                                                             
71;TRABALHADORES DA INDÚSTRIA EXTRATIVA E DA CONSTRUÇÃO CIVIL                                                                        
72;TRABALHADORES DA TRANSFORMAÇÃO DE METAIS E DE COMPÓSITOS                                                                          
73;TRABALHADORES DA FABRICAÇÃO E INSTALAÇÃO ELETROELETRÔNICA                                                                         
74;MONTADORES DE APARELHOS E INSTRUMENTOS DE PRECISÃO E MUSICAIS                                                                     
75;JOALHEIROS, VIDREIROS, CERAMISTAS E AFINS                                                                                         
76;TRABALHADORES NAS INDÚSTRIAS TÊXTIL, DO CURTIMENTO, DO VESTÚARIO E DAS ARTES GRÁFICAS                                             
77;TRABALHADORES DAS INDÚSTRIAS DE MADEIRA E DO MOBILIÁRIO                                                                           
78;TRABALHADORES DE FUNÇÕES TRANSVERSAIS                                                                                             
79;TRABALHADORES DO ARTESANATO
81;TRABALHADORES EM INDÚSTRIAS DE PROCESSOS CONTÍNUOS E OUTRAS INDÚSTRIAS                                                            
82;TRABALHADORES DE INSTALAÇÕES SIDERÚRGICAS E DE MATERIAIS DE CONSTRUÇÃO                                                            
83;TRABALHADORES DE INSTALAÇÕES E MÁQUINAS DE FABRICAÇÃO DE CELULOSE E PAPEL                                                         
84;TRABALHADORES DA FABRICAÇÃO DE ALIMENTOS, BEBIDAS E FUMO                                                                          
86;OPERADORES DE PRODUÇÃO, CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO (ENERGIA, ÁGUA E UTILIDADES)                                          
87;OPERADORES DE OUTRAS INSTALAÇÕES INDUSTRIAIS                                                                                      
91;TRABALHADORES EM SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO MECÂNICA                                                                      
95;POLIMANTENEDORES                                                                                                                  
99;OUTROS TRABALHADORES DA CONSERVAÇÃO, MANUTENÇÃO E REPARAÇÃO                                                                       
